osmid,lat,lon,label
32063422,50.0845733,20.0194331,RoadNode
32063423,50.0848924,20.018327,RoadNode
32063439,50.0876775,20.0033411,RoadNode
32067558,50.088286,19.8874219,RoadNode
32067563,50.0900471,19.883149,RoadNode
32067567,50.0932957,19.87654,RoadNode
32122127,50.0485895,19.8665316,RoadNode
32122147,50.0626032,19.9024569,RoadNode
32122170,50.0512055,19.9436642,RoadNode
32122172,50.0507145,19.9450013,RoadNode
32122178,50.0531358,19.9462155,RoadNode
32122180,50.0541191,19.9456923,RoadNode
32122182,50.0553402,19.9442119,RoadNode
32122185,50.0508336,19.951406,RoadNode
32122186,50.0483072,19.9433363,RoadNode
34802012,50.0044393,20.0236502,RoadNode
34802048,50.0012066,19.943884,RoadNode
34802052,50.001496,19.9379173,RoadNode
34802068,49.9919033,19.9128923,RoadNode
34802096,49.9874103,19.9145464,RoadNode
34802097,49.992147,19.9171012,RoadNode
34802101,50.0020082,19.9223148,RoadNode
34802161,50.0020026,19.8993848,RoadNode
34802162,49.9996656,19.8970292,RoadNode
34802164,49.9995123,19.8985292,RoadNode
34802169,49.9989144,19.8978221,RoadNode
34802176,49.9983683,19.898145,RoadNode
34805948,50.0360882,19.940779,RoadNode
34805952,50.0365464,19.9404195,RoadNode
34805953,50.0363468,19.9403204,RoadNode
34805962,50.0470637,19.9339156,RoadNode
34805993,50.0549985,19.9446182,RoadNode
34806015,50.0587681,19.9505575,RoadNode
34806052,50.0600246,19.9715055,RoadNode
34806059,50.0593773,19.9750134,RoadNode
34806110,50.0705916,20.0158253,RoadNode
34806115,50.0728559,20.0175579,RoadNode
34806225,50.078632,20.1871583,RoadNode
37828762,50.0038792,20.0149456,RoadNode
37828785,50.0040593,20.0188176,RoadNode
51969078,50.0940284,19.9242119,RoadNode
51969924,50.0933919,19.9218756,RoadNode
51974800,50.0966762,19.8914433,RoadNode
51974802,50.0979378,19.8906972,RoadNode
51975594,50.0966334,19.8912544,RoadNode
147784878,49.9893542,19.9155608,RoadNode
147784902,49.9918149,19.9130275,RoadNode
152557365,50.0850728,19.9537332,RoadNode
152557370,50.0868655,19.9477853,RoadNode
152557372,50.086606,19.9476104,RoadNode
152557376,50.0832146,19.9465928,RoadNode
206228586,50.0841503,19.8455841,RoadNode
206343893,50.0876515,19.8913869,RoadNode
206343915,50.0872301,19.8911481,RoadNode
206343920,50.087214,19.8918723,RoadNode
206346454,50.081759,19.8914726,RoadNode
206346477,50.0812839,19.8921391,RoadNode
206346644,50.0821979,19.8807807,RoadNode
206346811,50.0800904,19.8910099,RoadNode
206346839,50.080779,19.8918946,RoadNode
206347785,50.0801064,19.8947531,RoadNode
206348053,50.0806853,19.8903225,RoadNode
206348164,50.0797968,19.8899782,RoadNode
206348654,50.0758346,19.8883212,RoadNode
206348682,50.0711562,19.8952467,RoadNode
206348695,50.0700104,19.9038963,RoadNode
206349155,50.0756396,19.8892802,RoadNode
206349299,50.0788215,19.8800083,RoadNode
206349302,50.0813905,19.8806077,RoadNode
206349424,50.0759817,19.8873918,RoadNode
206349426,50.0760772,19.8859242,RoadNode
206349428,50.076162,19.8843158,RoadNode
206349431,50.0764358,19.8820688,RoadNode
206349435,50.0784373,19.8800922,RoadNode
206349442,50.0794985,19.8706592,RoadNode
206349444,50.0807251,19.8708959,RoadNode
206349542,50.076048,19.8864531,RoadNode
206349580,50.0742376,19.8857068,RoadNode
206349582,50.0732614,19.8858283,RoadNode
206349645,50.0751921,19.8861306,RoadNode
206349803,50.0750818,19.8867098,RoadNode
206349814,50.0732075,19.8850226,RoadNode
206349818,50.0736729,19.8813475,RoadNode
206349827,50.0749278,19.8807439,RoadNode
206349869,50.0743208,19.8851325,RoadNode
206349872,50.0754855,19.8840381,RoadNode
206349954,50.0753126,19.885017,RoadNode
206350017,50.0733437,19.8866054,RoadNode
206350176,50.0724586,19.9004318,RoadNode
206350267,50.0730914,19.8924749,RoadNode
206350271,50.0725365,19.8956541,RoadNode
206350273,50.0724154,19.8968723,RoadNode
206350279,50.0723447,19.9049547,RoadNode
206350343,50.0745982,19.8929735,RoadNode
206350462,50.0698177,19.8948676,RoadNode
206350619,50.0709283,19.9044049,RoadNode
206350629,50.0796437,19.9080426,RoadNode
206350833,50.0709586,19.9166515,RoadNode
206350843,50.0694267,19.9231675,RoadNode
206351226,50.0816936,19.9153255,RoadNode
206351242,50.0720718,19.9069529,RoadNode
